customer_id,company_name,region,segment,signup_date
CUST-001,Practice 1,DACH,Enterprise,2023-04-25
CUST-002,Practice 2,dach,Mid-Market,2023-09-08
CUST-003,Practice 3,Germany,,2023-04-15
CUST-004,Practice 4,CH,smb,2023-03-31
CUST-005,Practice 5,DACH,SMB,2023-02-02
CUST-006,Practice 6,dach,,2023-08-12
CUST-007,Practice 7,CH,Mid-Market,2023-01-28
CUST-008,Practice 8,dach,smb,2024-03-05
CUST-009,Practice 9,,SMB,2023-10-12
CUST-010,Practice 10,Germany,smb,2023-06-13
CUST-011,Practice 11,DE,Mid-Market,2023-12-15
CUST-012,Practice 12,,Enterprise,2023-08-09
CUST-013,Practice 13,DACH,smb,
CUST-014,Practice 14,DE,Enterprise,2023-04-10
CUST-015,Practice 15,,SMB,2023-09-28
CUST-016,Practice 16,CH,SMB,2024-04-15
CUST-017,Practice 17,DACH,,2024-01-23
CUST-018,Practice 18,,,2023-10-28
CUST-019,Practice 19,CH,Mid-Market,2024-01-06
CUST-020,Practice 20,DACH,Mid-Market,2023-03-13
CUST-021,Practice 21,DACH,Mid-Market,2023-10-24
CUST-022,Practice 22,AT,Enterprise,2023-04-14
CUST-023,Practice 23,Germany,Enterprise,2024-04-09
CUST-024,Practice 24,DE,Enterprise,2023-06-16
CUST-025,Practice 25,Germany,Enterprise,2023-08-03
CUST-026,Practice 26,CH,Mid-Market,2023-03-15
CUST-027,Practice 27,dach,smb,2023-09-08
CUST-028,Practice 28,DE,,2024-01-24
CUST-029,Practice 29,Germany,Enterprise,2023-08-13
CUST-030,Practice 30,dach,SMB,2023-02-27
CUST-031,Practice 31,AT,Enterprise,2023-11-20
CUST-032,Practice 32,dach,,2023-03-09
CUST-033,Practice 33,dach,smb,2023-11-19
CUST-034,Practice 34,Germany,smb,2024-02-10
CUST-035,Practice 35,DE,Mid-Market,2023-05-27
CUST-036,Practice 36,Germany,,2023-09-10
CUST-037,Practice 37,Germany,,2023-09-27
CUST-038,Practice 38,CH,smb,2024-03-14
CUST-039,Practice 39,dach,Mid-Market,2024-01-06
CUST-040,Practice 40,AT,SMB,2024-06-05
CUST-006,Practice 6,DE,,2023-08-12
